What is the capital of France?	Paris
Who wrote Romeo and Juliet?	William Shakespeare
What is the chemical symbol for water?	H2O
What is the tallest mountain in the world?	Mount Everest
What year did the Titanic sink?	1912
What is the chemical symbol for oxygen?	O2
What is the largest planet in our solar system?	Jupiter
Who painted the Mona Lisa?	Leonardo da Vinci
What is the chemical symbol for gold?	Au
What is the square root of 64?	8
Who is known as the Father of Modern Physics?	Albert Einstein
What is the capital of Japan?	Tokyo
What is the chemical symbol for carbon dioxide?	CO2
What is the largest organ in the human body?	Skin
Who was the first President of the United States?	George Washington
What is the chemical symbol for iron?	Fe
What is the symbol for the element helium?	He
What is the chemical symbol for sodium?	Na
What is the capital of Brazil?	Brasilia
Who wrote To Kill a Mockingbird?	Harper Lee
What is the chemical symbol for silver?	Ag
What is the chemical symbol for nitrogen?	N
What is the chemical symbol for calcium?	Ca
Who is known as the Father of Evolution?	Charles Darwin
What is the capital of India?	New Delhi
What is the chemical symbol for potassium?	K
What is the largest ocean on Earth?	Pacific Ocean
Who painted the Sistine Chapel Ceiling?	Michelangelo
What is the chemical symbol for hydrogen?	H
What is the chemical symbol for aluminum?	Al
What is the chemical symbol for helium?	He
What is the chemical symbol for lead?	Pb
Who wrote Pride and Prejudice?	Jane Austen
What is the capital of Russia?	Moscow
What is the chemical symbol for mercury?	Hg
What is the chemical symbol for silver?	Ag
What is the largest continent in the world?	Asia
Who is known as the Father of the Constitution?	James Madison
What is the chemical symbol for carbon?	C
What is the capital of Australia?	Canberra
What is the chemical symbol for neon?	Ne
What is the chemical symbol for magnesium?	Mg
What is the chemical symbol for tin?	Sn
What is the chemical symbol for uranium?	U
What is the capital of China?	Beijing
What is the chemical symbol for chlorine?	Cl


